Event,Zone,Region,Category,Start_Date,End_Date,Fatalities,Injured,Insured_Cost,latitude,longitude
"Earthquake – Hunter Valley, Ellalong and Cessnock",New South Wales,Sydney,Earthquake,1994-08-06,1994-08-06,,,3720,-33.8698439,151.2082848
Earthquake - Newcastle,New South Wales,Sydney,Earthquake,1989-12-28,1989-12-29,13,160,86200,-33.8698439,151.2082848
Earthquake - Meckering and Region,Western Australia,Merredin,Earthquake,1968-10-14,1968-10-14,,20,150,-31.4813329,118.2779117
Earthquake - Victoria ,Victoria,Alpine National Park,Earthquake,2021-09-22,2021-09-22,,,11053.3377,-37.02981835,147.0611496
Environment - Drought,New South Wales,New South Wales,Environment,2012-04-01,2014-01-31,,,36400,-31.8759835,147.2869493
Environment - Central Wheatbelt Western Australia,Western Australia,Merredin,Environment,1998-09-19,1998-09-23,,,9800,-31.4813329,118.2779117
South-east Queensland Heavy rainfall and floods,Queensland,Queensland,Flood,2020-02-08,2020-02-14,1,,89600,-22.1646782,144.5844903
Flood - Hobart flash flooding,Tasmania,Hobart,Flood,2018-05-10,2018-05-10,,,13700,-42.8825088,147.3281233
"Flood - Tasmania, 2016",Tasmania,Mersey,Flood,2016-06-01,2016-07-31,3,,18000,-41.42483,146.435882
Flood - Victoria,Victoria,Cooma (VIC),Flood,2012-02-26,2012-03-15,,,10821.2,-36.409381,145.0728646
Flood - New South Wales,New South Wales,Bourke ,Flood,2012-01-24,2012-03-13,3,,10821.2,-30.0914494,145.9429902
Flood - Queensland,Queensland,Cairns ,Flood,2012-01-24,2012-03-13,1,,12468.8,-16.9206657,145.7721854
Flood - Victoria ,Victoria,Mount Gambier (VIC) ,Flood,2011-01-12,2011-01-18,,,12246.5,-37.5884941,141.3905057
"Flood - Warum, Kimberly",Western Australia,Kimberly,Flood,2011-03-10,2011-03-14,,,1750,-17.348881,125.896793
Flood - Queensland,Queensland,Brisbane,Flood,2010-11-30,2011-01-17,33,,238000,-27.4689682,153.0234991
Flood - Gascoyne river,Western Australia,Gascoyne River,Flood,2010-12-16,2010-12-18,,,9000,-24.9635141,115.8887029
Flood - Queensland ,Queensland,Blackall ,Flood,2010-02-28,2010-03-05,,,4670,-24.4231685,145.4648487
Flood - Northern New South Wales,New South Wales,Lismore (NSW),Flood,2009-05-20,2009-05-23,1,,4800,-28.7936072,153.2671259
Flood - Mid and North Coast ,New South Wales,Tamworth,Flood,2009-03-31,2009-04-02,,,3700,-31.0900743,150.9290159
Flood - North Queensland,Queensland,Cairns ,Flood,2009-01-31,2009-02-07,1,,1900,-16.9206657,145.7721854
Flood - North Queensland ,Queensland,Cairns ,Flood,2009-01-12,2009-02-14,,,1900,-16.9206657,145.7721854
Flood - Mackay,Queensland,Blackall ,Flood,2008-02-14,2008-02-17,,,41000,-24.4231685,145.4648487
Flood - North Coast New South Wales ,New South Wales,Lismore (NSW),Flood,2008-01-04,2008-01-11,,,1500,-28.7936072,153.2671259
Flood - Queensland,Queensland,Ayr ,Flood,2008-01-01,2008-01-31,,,7000,-19.566445,147.406191
Flood - South East Queensland ,Queensland,Brisbane ,Flood,2007-12-27,2008-01-07,,,1500,-27.4689682,153.0234991
Flood - Gippsland,Victoria,Cooma (VIC) ,Flood,2007-06-27,2007-07-02,1,,1500,-36.409381,145.0728646
Flood - Gawler river,South Australia,Gawler River,flood,2005-11-08,,,,4000,-34.6335654,138.601402
Flood - North East New South Wales,New South Wales,Lismore (NSW),Flood,2005-06-29,2005-06-30,1,,2500,-28.7936072,153.2671259
Flood - South East Queensland,Queensland,Lismore (QLD),Flood,2005-06-29,2005-06-30,2,,5390,-27.9078296,153.3355448
