Event,Zone,Region,Category,Start_Date,End_Date,Fatalities,Injured,Insured_Cost,latitude,longitude
"Transport - Bundaberg Backpacker mini-bus accident, Queensland 2005",Queensland,Bundaberg,Transport,2005-09-10,2005-09-10,3,8,Not Available,-24.8653253,152.3516785
Transport – Sydney Ferry Accident,New South Wales,Sydney,Transport,2007-03-28,2007-03-28,4,8,Not Available,-33.8698439,151.2082848
Shipwreck - Stirling Castle ,Queensland,Swain Reefs,Maritime/Coastal,1836-05-21,1836-05-21,10,8,Not Available,-21.8107984,151.2489041
Industrial - HMAS Westralia (II),Western Australia,Perth,Industrial,1998-05-05,1998-05-05,4,9,Not Available,-31.9558933,115.8605855
Shipwreck - British Admiral,Victoria,Wilsons Promontory,Maritime/Coastal,1874-05-23,1874-05-23,79,9,Not Available,-38.9567021,146.3514784
Flood - Boonah,Queensland,Brisbane,Flood,1991-02-07,1991-02-11,3,10,Not Available,-27.4689682,153.0234991
Shipwreck - HMAS Kuttabul ,New South Wales,Sydney,Maritime/Coastal,1942-06-01,1942-06-01,21,10,Not Available,-33.8698439,151.2082848
Shipwreck - Schah,Victoria,Cooma (VIC),Maritime/Coastal,1837-12-20,1837-12-20,7,12,Not Available,-36.409381,145.0728646
Industrial - HMAS Tarakan Explosion,New South Wales,Sydney,Industrial,1950-01-25,1950-01-25,8,12,Not Available,-33.8698439,151.2082848
Transport - Black Hawk Air Collision,Queensland,Townsville,Transport,1996-06-12,1996-06-12,18,12,Not Available,-19.2569391,146.8239537
Transport -Mini Bus accident on Jamberoo Mountain Road,New South Wales,Wollongong,Transport,2005-09-05,2005-09-05,3,14,Not Available,-34.4278083,150.893054
Transport - Kerang Train and Truck Collision,Victoria,Swan Hill (VIC),Transport,2007-06-05,2007-06-05,11,14,Not Available,-35.3390784,143.5588436
Transport - Tamaree Train Crash,Queensland,Bundaberg,Transport,1947-10-18,1947-10-18,6,15,Not Available,-24.8653253,152.3516785
Flood - Woden Valley,Australian Capital Territory,Canberra (ACT),Flood,1971-01-26,1971-01-26,7,15,Not Available,-35.2975906,149.1012676
Shipwreck - Ly-Ee-Moon,New South Wales,Cooma (NSW),Maritime/Coastal,1886-05-30,1886-05-30,71,16,Not Available,-36.23563,149.1264221
Industrial - Mount St Canice,Tasmania,Hobart,Industrial,1974-09-05,1974-09-05,8,17,Not Available,-42.8825088,147.3281233
Shipwreck - Edward Lombe,New South Wales,Sydney,Maritime/Coastal,1834-08-25,1834-08-25,12,17,Not Available,-33.8698439,151.2082848
Industrial - Box Flat Mine Ipswich,Queensland,Brisbane,Industrial,1972-07-31,1972-07-31,18,17,Not Available,-27.4689682,153.0234991
Transport - Trawalla Train and Truck Collision,Victoria,Melbourne,Transport,2006-04-28,2006-04-28,2,18,Not Available,-37.8142454,144.9631732
Transport - Rocky Ponds Train Derailment,New South Wales,Canberra (NSW),Transport,1948-06-30,1948-06-30,4,18,Not Available,-33.8094874,151.1641281
Transport - Hurstville Rail Accident ,New South Wales,Sydney,Transport,1920-08-03,1920-08-03,4,18,Not Available,-33.8698439,151.2082848
Criminal Act - Kings Cross Hostel,New South Wales,Sydney,Criminal Act,1989-09-17,1989-09-17,6,18,Not Available,-33.8698439,151.2082848
"Urban Fire � Kings Cross, New South Wales 1989",New South Wales,Sydney,Urban Fire,1989-09-17,1989-09-17,6,18,Not Available,-33.8698439,151.2082848
Health -  Oodnadatta Heatwave,South Australia,Oodnadatta,Health,1959-12-31,1960-01-03,13,18,Not Available,-27.5482756,135.4484273
Transport - Bookham Coach Semi-Trailer Collision,New South Wales,Canberra (NSW),Transport,1998-08-07,1998-08-07,3,19,Not Available,-33.8094874,151.1641281
Criminal Act - Hoddle Street Shooting,Victoria,Melbourne,Criminal Act,1987-08-09,1987-08-09,7,19,Not Available,-37.8142454,144.9631732
Cyclone George,Western Australia,Port Hedland,Cyclone,2007-03-03,2007-03-08,3,20,8000000,-20.3111814,118.5801181
Shipwreck - Port Welshpool Ship Explosion,Victoria,Wilsons Promontory,Maritime/Coastal,1969-03-22,1969-03-22,3,20,Not Available,-38.9567021,146.3514784
Shipwreck - Thetis,Victoria,Wilsons Promontory,Maritime/Coastal,1848-05-26,1848-05-26,4,20,Not Available,-38.9567021,146.3514784
Transport - Cootamundra Train Derailment,New South Wales,Wollongong,Transport,1885-01-25,1885-01-25,7,20,Not Available,-34.4278083,150.893054
Transport - Exeter Train Collision,New South Wales,Wollongong,Transport,1914-03-16,1914-03-16,14,20,Not Available,-34.4278083,150.893054
"Transport - Tumut Ponds Bus crash, NSW 1973 ",New South Wales,Tumut Ponds,Transport,1973-09-01,1973-09-01,18,21,Not Available,-35.9483363,148.4281377
Criminal Act - Port Arthur Shooting Massacre,Tasmania,Hobart,Criminal Act,1996-04-28,1996-04-28,35,21,Not Available,-42.8825088,147.3281233
Health - Food Poisoning Outbreak,South Australia,Adelaide,Health,1994-11-01,1995-02-01,1,22,Not Available,-34.9281805,138.5999312
Urban Fire - Noble Park Melbourne,Victoria,Melbourne,Urban Fire,1991-01-01,1991-01-01,4,22,Not Available,-37.8142454,144.9631732
Criminal Act - Savoy Hotel Arson,New South Wales,Sydney,Criminal Act,1975-12-25,1975-12-25,15,22,Not Available,-33.8698439,151.2082848
Transport - Cowper (near Grafton) Bus and Semi Trailer Collision,New South Wales,Lismore (NSW),Transport,1989-10-20,1989-10-20,21,22,Not Available,-28.7936072,153.2671259
Shipwreck - Cheviot,Victoria,Wilsons Promontory,Maritime/Coastal,1887-10-19,1887-10-19,35,24,Not Available,-38.9567021,146.3514784
Shipwreck - Admella,South Australia,Adelaide,Maritime/Coastal,1859-08-06,1859-08-06,89,24,Not Available,-34.9281805,138.5999312
Transport - Albury Coach and Truck Collision,New South Wales,Canberra (NSW),Transport,1998-08-13,1998-08-13,1,25,Not Available,-33.8094874,151.1641281
Cyclone Althea,Queensland,Townsville,Cyclone,1971-12-24,1971-12-27,3,25,25000000,-19.2569391,146.8239537
Transport - Barossa Valley School Bus Crash,South Australia,Adelaide,Transport,2001-01-29,2001-01-29,1,26,Not Available,-34.9281805,138.5999312
"Transport - Salisbury - Train, Bus and Car Collision",South Australia,Adelaide,Transport,2002-10-24,2002-10-24,4,26,Not Available,-34.9281805,138.5999312
Urban Fire - Somers Hospital Fire,Victoria,Wilsons Promontory,Urban Fire,1952-09-09,1952-09-09,5,26,Not Available,-38.9567021,146.3514784
"Industrial - Boiling liquid expanding vapour explosion (BLEVE), Cairns ",Queensland,Cairns,Industrial,1987-08-01,1987-08-01,1,27,Not Available,-16.9206657,145.7721854
Transport - Copley Rail Collision,South Australia,Leigh Creek,Transport,1944-05-11,1944-05-11,4,27,Not Available,-30.5932071,138.403104
Transport - Redfern Train Collision,New South Wales,Sydney,Transport,1894-10-31,1894-10-31,14,27,Not Available,-33.8698439,151.2082848
Urban Fire - Dungog Hostel Fire,New South Wales,Sydney,Urban Fire,1991-08-02,1991-08-02,12,28,Not Available,-33.8698439,151.2082848
Flood - Katherine Floods,Northern Territory,Katherine,Flood,1998-01-25,1998-02-02,3,30,70000000,-14.4646157,132.2635993
Transport - Sydenham Train Derailment ,New South Wales,Sydney,Transport,1901-02-15,1901-02-15,7,30,Not Available,-33.8698439,151.2082848
Transport - Gordonvale/Cairns Bus Crash,Queensland,Cairns,Transport,1987-02-04,1987-02-04,8,30,Not Available,-16.9206657,145.7721854
Urban Fire - Quakers Hill Nursing Home,New South Wales,Sydney,Urban Fire,2011-11-18,2011-11-18,10,32,Not Available,-33.8698439,151.2082848
Transport - Spit Bridge Bus Crash,New South Wales,Sydney,Transport,1949-05-30,1949-05-30,4,33,Not Available,-33.8698439,151.2082848
